# 指令元数据 - 指令名称和描述
FUSE_INSTRUCTION_BREAKPOINT_NAME,断点,Breakpoint
FUSE_INSTRUCTION_BREAKPOINT_DESC,命中时输出变量信息到输出窗口，可选暂停执行,Outputs variable info on hit, optionally pauses execution
FUSE_INSTRUCTION_BREAKPOINT_RESOURCE_NAME,断点: {label},Breakpoint: {label}
FUSE_INSTRUCTION_BREAKPOINT_DESCRIPTION,断点 "{label}" (条件: {condition}),Breakpoint "{label}" (condition: {condition})
FUSE_BREAKPOINT_UNNAMED,未命名,Unnamed
FUSE_BREAKPOINT_TITLE,{label} — 命中 #{hit},{label} — Hit #{hit}
FUSE_BREAKPOINT_CONDITION_LABEL,条件,Condition
FUSE_BREAKPOINT_LOCAL_VARS,局部变量,Local Variables
FUSE_BREAKPOINT_SCOPE_VARS,作用域变量,Scope Variables
FUSE_BREAKPOINT_GLOBAL_VARS,全局变量,Global Variables
FUSE_BREAKPOINT_HIT,#%d（忽略，需 %d 次后生效）,Hit #%d (ignored, activates after %d hits)
FUSE_BREAKPOINT_CONDITION_FAILED,条件评估失败，降级为无条件断点,Condition evaluation failed, falling back to unconditional
FUSE_BREAKPOINT_CONDITION_NOT_MET,条件不满足，跳过断点,Condition not met, skipping breakpoint
FUSE_BREAKPOINT_CONDITION_ERROR,条件求值错误: {error} (条件: '{condition}'),Condition evaluation error: {error} (condition: '{condition}')
FUSE_BREAKPOINT_PAUSE_ONLY_EDITOR,暂停功能仅在编辑器模式可用，已降级为日志输出,Pause is only available in editor mode, degraded to log output
FUSE_BREAKPOINT_PAUSED_TITLE,⏸ 断点命中 — 执行已暂停,⏸ Breakpoint Hit — Execution Paused
FUSE_BREAKPOINT_PAUSED_HINT,变量信息请查看输出窗口,See output window for variable info
FUSE_BREAKPOINT_PAUSED_KEY_HINT,按 Enter 键继续运行,Press Enter to continue
FUSE_BREAKPOINT_PAUSED_MESSAGE,执行已暂停 — 按 Enter 键恢复运行,Execution paused — Press Enter to resume
FUSE_BREAKPOINT_RESUMED_MESSAGE,执行已恢复,Execution resumed
FUSE_INSTRUCTION_PRINT_NAME,打印消息,Print Message
FUSE_INSTRUCTION_PRINT_DESC,打印消息到输出窗口和执行上下文,Prints a message to the output window and execution context
FUSE_INSTRUCTION_PRINT_VARIABLE_NAME,打印变量值,Print Variable Value
FUSE_INSTRUCTION_PRINT_VARIABLE_DESC,查找并打印变量的值到输出窗口和执行上下文,Finds and prints a variable value to the output window and execution context
FUSE_INSTRUCTION_SET_VARIABLE_NAME,设置变量,Set Variable
FUSE_INSTRUCTION_SET_VARIABLE_DESC,设置变量的值，支持从另一个变量复制值或直接设置新值,"Sets the value of a variable, supports copying from another variable or setting a new value"
FUSE_INSTRUCTION_CREATE_VARIABLE_NAME,创建变量,Create Variable
FUSE_INSTRUCTION_CREATE_VARIABLE_DESC,创建一个新变量并设置初始值,Creates a new variable and sets its initial value
FUSE_INSTRUCTION_WAIT_NAME,等待,Wait
FUSE_INSTRUCTION_WAIT_DESC,等待指定时间（秒）,Waits for a specified duration (seconds)
FUSE_INSTRUCTION_COUNT_NAME,计数,Count
FUSE_INSTRUCTION_COUNT_DESC,一个计数指令，用于演示如何维护状态和多次执行,A counting instruction to demonstrate state maintenance and multiple execution
FUSE_INSTRUCTION_QUIT_NAME,退出应用程序,Quit Application
FUSE_INSTRUCTION_QUIT_DESC,退出当前运行的应用程序,Quits the currently running application
FUSE_INSTRUCTION_RUN_CONDITION_CHECK_NAME,运行条件检查,Run Condition Check
FUSE_INSTRUCTION_RUN_CONDITION_CHECK_DESC,评估条件并根据结果执行不同的操作,Evaluates a condition and performs different actions based on the result
FUSE_INSTRUCTION_SET_INT_VARIABLE_NAME,设置整数变量,Set Int Variable
FUSE_INSTRUCTION_SET_INT_VARIABLE_DESC,设置整数类型变量的值,Sets the value of an integer variable
FUSE_INSTRUCTION_SET_PROPERTY_VALUE_NAME,设置属性值,Set Property Value
FUSE_INSTRUCTION_SET_PROPERTY_VALUE_DESC,设置节点属性的值,Sets the value of a node property
FUSE_INSTRUCTION_RUN_TARGET_NODE_FUNCTION_NAME,运行节点函数,Run Node Function
FUSE_INSTRUCTION_RUN_TARGET_NODE_FUNCTION_DESC,调用目标节点的指定函数,Calls a specified function on the target node
FUSE_INSTRUCTION_SET_POSITION_NAME,设置位置,Set Position
FUSE_INSTRUCTION_SET_POSITION_DESC,设置节点的全局或局部位置（支持 2D/3D），支持从变量读取位置值,Sets the global or local position of a node (supports 2D/3D), supports reading position from variable
FUSE_INSTRUCTION_FOR_LOOP_NAME,For 循环,For Loop
FUSE_INSTRUCTION_FOR_LOOP_DESC,重复执行指令序列固定次数，支持循环索引变量,Repeats executing a sequence of instructions a fixed number of times, supports loop index variable
FUSE_INSTRUCTION_IF_ELSE_NAME,如果/否则,If/Else
FUSE_INSTRUCTION_IF_ELSE_DESC,根据条件执行不同的指令序列，支持变量比较、节点属性检查和节点存在性检查,Executes different instruction sequences based on conditions, supports variable comparison, node property check, and node existence check
FUSE_INSTRUCTION_IF_THEN_NAME,如果/那么,If/Then
FUSE_INSTRUCTION_IF_THEN_DESC,根据条件决定是否执行指令序列，条件为 true 时执行，为 false 时跳过,Executes instruction sequence if condition is true, skips if false
FUSE_INSTRUCTION_FIND_NODE_NAME,查找节点,Find Node
FUSE_INSTRUCTION_FIND_NODE_DESC,按名称、类型或组查找节点，支持多种搜索范围，可保存到本地或全局变量,Finds nodes by name, type, or group with multiple search scopes, can save to local or global variables
FUSE_INSTRUCTION_CHANGE_SCENE_NAME,切换场景,Change Scene
FUSE_INSTRUCTION_CHANGE_SCENE_DESC,切换到指定场景，支持立即切换和延迟切换,Changes to the specified scene, supports immediate or delayed transition
FUSE_INSTRUCTION_SET_ROTATION_NAME,设置旋转,Set Rotation
FUSE_INSTRUCTION_SET_ROTATION_DESC,设置节点的全局或局部旋转（支持 2D/3D），支持从变量读取旋转值,Sets the global or local rotation of a node (supports 2D/3D), supports reading rotation from variable
FUSE_INSTRUCTION_SET_SCALE_NAME,设置缩放,Set Scale
FUSE_INSTRUCTION_SET_SCALE_DESC,设置节点的缩放（支持 2D/3D），支持从变量读取缩放值或使用统一缩放,Sets the scale of a node (supports 2D/3D), supports reading scale from variable or using uniform scale
FUSE_INSTRUCTION_LOOK_AT_NAME,朝向,Look At
FUSE_INSTRUCTION_LOOK_AT_DESC,让节点朝向目标位置或另一个节点（支持 2D/3D），支持自定义 Up 向量,Makes a node look at a target position or another node (supports 2D/3D), supports custom up vector
FUSE_INSTRUCTION_PLAY_SOUND_NAME,播放音效,Play Sound
FUSE_INSTRUCTION_PLAY_SOUND_DESC,播放音效文件，支持音量、音调和循环设置,Plays a sound effect file with volume, pitch, and loop settings
FUSE_INSTRUCTION_STOP_AUDIO_NAME,停止音频,Stop Audio
FUSE_INSTRUCTION_STOP_AUDIO_DESC,停止音频播放，支持停止全部、指定总线或匹配名称的音频，支持淡出效果,Stops audio playback with options for all, specific bus, or name pattern matching, supports fade out
FUSE_INSTRUCTION_SET_AUDIO_VOLUME_NAME,设置音量,Set Audio Volume
FUSE_INSTRUCTION_SET_AUDIO_VOLUME_DESC,设置音频播放器的音量，支持指定播放器/总线/名称模式，支持淡入淡出效果,Sets the volume of audio players with options for specific player, bus, or name pattern, supports fade in/out
FUSE_INSTRUCTION_PLAY_MUSIC_NAME,播放音乐,Play Music
FUSE_INSTRUCTION_PLAY_MUSIC_DESC,播放音乐文件，默认循环播放，支持音量、淡入效果和混音器总线,Plays a music file with loop enabled by default, supports volume, fade in, and bus settings
FUSE_INSTRUCTION_CROSSFADE_TO_MUSIC_NAME,交叉淡入淡出音乐,Crossfade to Music
FUSE_INSTRUCTION_CROSSFADE_TO_MUSIC_DESC,将当前音乐淡出的同时淡入新音乐，实现平滑的音乐切换,Fades out current music while fading in new music for smooth transition
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_NAME,暂停/恢复音频,Pause/Resume Audio
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC,暂停或恢复音频播放，支持指定播放器/总线/名称模式/所有正在播放的音频,Pauses or resumes audio playback with options for specific player, bus, name pattern, or all playing audio
FUSE_INSTRUCTION_BREAK_LOOP_NAME,跳出循环,Break Loop
FUSE_INSTRUCTION_BREAK_LOOP_DESC,立即退出当前循环，只能在循环体内使用,Immediately exits the current loop, can only be used within a loop body
FUSE_INSTRUCTION_CONTINUE_LOOP_NAME,继续循环,Continue Loop
FUSE_INSTRUCTION_CONTINUE_LOOP_DESC,跳过本次迭代的剩余指令，进入下一次循环，只能在循环体内使用,Skips remaining instructions of current iteration and proceeds to next iteration, can only be used within a loop body
FUSE_INSTRUCTION_CONTINUE_LOOP_DESC_PLACEHOLDER,跳过本次迭代，进入下一次循环,Skips current iteration, proceeds to next loop
FUSE_INSTRUCTION_CONTINUE_LOOP_RESOURCE_NAME,继续循环,Continue Loop
FUSE_LOG_CONTINUE_FLAG_SET,设置 continue 标志，将跳过本次迭代,Continue flag set, will skip current iteration
FUSE_INSTRUCTION_WAIT_UNTIL_NAME,等待直到,Wait Until
FUSE_INSTRUCTION_WAIT_UNTIL_DESC,阻塞执行直到指定条件成立或超时，支持变量比较、节点属性检查、变量存在性检查,Blocks execution until specified condition is met or timeout, supports variable comparison, node property check, and variable existence check
FUSE_INSTRUCTION_MOVE_BY_NAME,相对移动,Move By
FUSE_INSTRUCTION_MOVE_BY_DESC,相对于当前位置移动节点（支持 2D/3D），支持全局/局部坐标系，支持从变量读取偏移,Moves a node by an offset relative to its current position (supports 2D/3D), supports global/local coordinate systems, supports reading offset from variable
FUSE_INSTRUCTION_ROTATE_BY_NAME,相对旋转,Rotate By
